Date,^AXJO,^GSPC,^HSI
1991-01-24,,334.7799987792969,3140.0
1991-01-25,,336.07000732421875,3206.0
1991-01-28,,336.0299987792969,3198.0
1991-01-29,,335.8399963378906,3192.0
1991-01-30,,340.9100036621094,3200.0
1991-01-31,,343.92999267578125,3243.0
1991-02-01,,343.04998779296875,3223.0
1991-02-04,,348.3399963378906,3250.0
1991-02-05,,351.260009765625,3345.0
1991-02-06,,358.07000732421875,3365.0
1991-02-07,,356.5199890136719,3333.0
1991-02-08,,359.3500061035156,3359.0
1991-02-11,,368.5799865722656,3394.0
1991-02-12,,365.5,3395.0
1991-02-13,,369.0199890136719,3412.0
1991-02-14,,364.2200012207031,
1991-02-15,,369.05999755859375,
1991-02-18,,,3473.0
1991-02-19,,369.3900146484375,3467.0
1991-02-20,,365.1400146484375,3492.0
1991-02-21,,364.9700012207031,3477.0
1991-02-22,,365.6499938964844,3475.0
1991-02-25,,367.260009765625,3520.0
1991-02-26,,362.80999755859375,3532.0
1991-02-27,,367.739990234375,3512.0
1991-02-28,,367.07000732421875,3552.0
1991-03-01,,370.4700012207031,3552.0
1991-03-04,,369.3299865722656,3564.0
1991-03-05,,376.7200012207031,3600.0
1991-03-06,,376.1700134277344,3647.0
1991-03-07,,375.9100036621094,3658.0
1991-03-08,,374.95001220703125,3653.0
1991-03-11,,372.9599914550781,3669.0
1991-03-12,,370.0299987792969,3658.0
1991-03-13,,374.57000732421875,3634.0
1991-03-14,,373.5,3627.0
1991-03-15,,373.5899963378906,3722.0
1991-03-18,,372.1099853515625,3724.0
1991-03-19,,366.5899963378906,3751.0
1991-03-20,,367.9200134277344,3683.0
1991-03-21,,366.5799865722656,3661.0
1991-03-22,,367.4800109863281,3716.0
1991-03-25,,369.8299865722656,3720.0
1991-03-26,,376.29998779296875,3683.0
1991-03-27,,375.3500061035156,3691.0
1991-03-28,,375.2200012207031,3745.0
1991-04-01,,371.29998779296875,
1991-04-02,,379.5,3789.0
1991-04-03,,378.94000244140625,3869.0
1991-04-04,,379.7699890136719,3849.0
1991-04-05,,375.3599853515625,
1991-04-08,,378.6600036621094,3812.0
1991-04-09,,373.55999755859375,3757.0
1991-04-10,,373.1499938964844,3777.0
1991-04-11,,377.6300048828125,3703.0
1991-04-12,,380.3999938964844,3742.0
1991-04-15,,381.19000244140625,3714.0
1991-04-16,,387.6199951171875,3717.0
1991-04-17,,390.45001220703125,3687.0
1991-04-18,,388.4599914550781,3699.0
1991-04-19,,384.20001220703125,3667.0
1991-04-22,,380.95001220703125,3582.0
1991-04-23,,381.760009765625,3569.0
1991-04-24,,382.760009765625,3605.0
1991-04-25,,379.25,3594.0
1991-04-26,,379.0199890136719,3625.0
1991-04-29,,373.6600036621094,3624.0
1991-04-30,,375.3399963378906,3588.0
1991-05-01,,380.2900085449219,3631.0
1991-05-02,,380.5199890136719,3726.0
1991-05-03,,380.79998779296875,3737.0
1991-05-06,,380.0799865722656,3704.0
1991-05-07,,377.32000732421875,3741.0
1991-05-08,,378.510009765625,3747.0
1991-05-09,,383.25,3744.0
1991-05-10,,375.739990234375,3750.0
1991-05-13,,376.760009765625,3767.0
1991-05-14,,371.6199951171875,3785.0
1991-05-15,,368.57000732421875,3789.0
1991-05-16,,372.19000244140625,3859.0
1991-05-17,,372.3900146484375,3882.0
1991-05-20,,372.2799987792969,3917.0
1991-05-21,,375.3500061035156,3829.0
1991-05-22,,376.19000244140625,3826.0
1991-05-23,,374.9599914550781,3778.0
1991-05-24,,377.489990234375,3703.0
1991-05-27,,,3575.0
1991-05-28,,381.94000244140625,3594.0
1991-05-29,,382.7900085449219,3625.0
1991-05-30,,386.9599914550781,3679.0
1991-05-31,,389.8299865722656,3707.0
1991-06-03,,388.05999755859375,3688.0
1991-06-04,,387.739990234375,3667.0
1991-06-05,,385.0899963378906,3690.0
1991-06-06,,383.6300048828125,3678.0
1991-06-07,,379.42999267578125,3637.0
1991-06-10,,378.57000732421875,3621.0
1991-06-11,,381.04998779296875,3631.0
1991-06-12,,376.6499938964844,3627.0
1991-06-13,,377.6300048828125,3632.0
1991-06-14,,382.2900085449219,3639.0
1991-06-17,,380.1300048828125,
1991-06-18,,378.5899963378906,
1991-06-19,,375.0899963378906,3626.0
1991-06-20,,375.4200134277344,3593.0
1991-06-21,,377.75,3565.0
1991-06-24,,370.94000244140625,3569.0
1991-06-25,,370.6499938964844,3604.0
1991-06-26,,371.5899963378906,3634.0
1991-06-27,,374.3999938964844,3629.0
1991-06-28,,371.1600036621094,3668.0
1991-07-01,,377.9200134277344,3738.0
1991-07-02,,377.4700012207031,3772.0
1991-07-03,,373.3299865722656,3796.0
1991-07-04,,,3850.0
1991-07-05,,374.0799865722656,3892.0
1991-07-08,,377.94000244140625,3880.0
1991-07-09,,376.1099853515625,3904.0
1991-07-10,,375.739990234375,3901.0
1991-07-11,,376.9700012207031,3892.0
1991-07-12,,380.25,3915.0
1991-07-15,,382.3900146484375,3945.0
1991-07-16,,381.5400085449219,3997.0
1991-07-17,,381.17999267578125,3962.0
1991-07-18,,385.3699951171875,3976.0
1991-07-19,,384.2200012207031,4009.0
1991-07-22,,382.8800048828125,3988.0
1991-07-23,,379.4200134277344,4009.0
1991-07-24,,378.6400146484375,4028.0
1991-07-25,,380.9599914550781,4012.0
1991-07-26,,380.92999267578125,4031.0
1991-07-29,,383.1499938964844,4016.0
1991-07-30,,386.69000244140625,3991.0
1991-07-31,,387.80999755859375,4009.0
1991-08-01,,387.1199951171875,4030.0
1991-08-02,,387.17999267578125,4059.0
1991-08-05,,385.05999755859375,4063.0
1991-08-06,,390.6199951171875,4021.0
1991-08-07,,390.55999755859375,4061.0
1991-08-08,,389.32000732421875,4046.0
1991-08-09,,387.1199951171875,4024.0
1991-08-12,,388.0199890136719,4070.0
1991-08-13,,389.6199951171875,4052.0
1991-08-14,,389.8999938964844,4079.0
1991-08-15,,389.3299865722656,4073.0
1991-08-16,,385.5799865722656,4063.0
1991-08-19,,376.4700012207031,3722.0
1991-08-20,,379.42999267578125,3848.0
1991-08-21,,390.5899963378906,3863.0
1991-08-22,,391.3299865722656,4045.0
1991-08-23,,394.1700134277344,4021.0
1991-08-26,,393.8500061035156,
1991-08-27,,393.05999755859375,3981.0
1991-08-28,,396.6400146484375,3968.0
1991-08-29,,396.4700012207031,3960.0
1991-08-30,,395.42999267578125,3998.0
1991-09-02,,,4023.0
1991-09-03,,392.1499938964844,4025.0
1991-09-04,,389.9700012207031,4006.0
1991-09-05,,389.1400146484375,3990.0
1991-09-06,,389.1000061035156,3970.0
1991-09-09,,388.57000732421875,3940.0
1991-09-10,,384.55999755859375,3959.0
1991-09-11,,385.0899963378906,3966.0
1991-09-12,,387.3399963378906,3970.0
1991-09-13,,383.5899963378906,3974.0
1991-09-16,,385.7799987792969,3953.0
1991-09-17,,385.5,3938.0
